사고부위,전체건수,중대사고건수,중대화율(%)
무릎,10836,245,2.26
흉부,449,6,1.34
허리,1073,12,1.12
기타,1993,21,1.05
볼,443,2,0.45
목,249,1,0.4
골반/엉덩이,612,2,0.33
눈,3261,10,0.31
위팔,336,1,0.3
아래다리(종아리),1757,5,0.28
