사고시간,전체건수,중대사고건수,중대화율(%)
진로활동,277,30,10.83
동아리활동,292,13,4.45
경기출전,563,25,4.44
자율활동,84,3,3.57
식사시간(간식 포함),1529,46,3.01
그 밖의 교육활동 시간,575,11,1.91
체육대회,895,16,1.79
현장학습,56,1,1.79
체육,4196,71,1.69
이론수업,131,2,1.53
