사고당시활동,전체건수,중대사고건수,중대화율(%)
"태권도, 유도, 합기도",302,14,4.64
축구,3465,107,3.09
농구,1387,39,2.81
기타 스포츠 활동,288,8,2.78
기타 구기,417,11,2.64
야구,121,3,2.48
기타,563,12,2.13
"(교통수단 등) 운전, 조작, 탑승 중",56,1,1.79
피구,286,5,1.75
"걷기/뛰기, 오르내리기",1063,18,1.69
