사고당시활동,사고형태,0
축구,넘어짐,49
농구,넘어짐,20
축구,사람과의 부딪힘,18
"걷기/뛰기, 오르내리기",넘어짐,17
축구,그밖의 손상 사고,13
축구,고정된 물체와의 부딪힘,12
기타,넘어짐,8
기타 구기,넘어짐,8
축구,스포츠 활동 중 충격을 가함,7
농구,사람과의 부딪힘,6
농구,그밖의 손상 사고,6
피구,넘어짐,5
"태권도, 유도, 합기도",넘어짐,5
축구,1미터 미만의 높이에서 떨어짐,5
배드민턴,스포츠 활동 중 충격을 가함,3
