사고장소,전체건수,중대사고건수,중대화율(%)
기타 교외,117,6,5.13
실·내외 체육시설,574,21,3.66
기타 교내,119,4,3.36
운동장,4882,130,2.66
교통구역(스쿨존 내)-인도,78,2,2.56
강당(체육관),3263,62,1.9
계단,461,8,1.74
복도,251,4,1.59
기숙사,69,1,1.45
일반(교과)교실,282,4,1.42
